,views,likes,dislikes,comment_count
count,38304.0,38304.0,38304.0,38304.0
mean,5970072.806913116,135676.84043441937,7118.518849206349,12709.73950501253
std,19132311.40983781,351616.44716283487,40748.835472643856,43789.22107943083
min,851.0,0.0,0.0,0.0
25%,254920.75,6042.0,204.0,688.0
50%,996910.0,25574.0,827.0,2509.0
75%,3727766.5,115885.5,3409.25,9304.0
max,424538912.0,5613827.0,1753274.0,1228655.0
