,views,likes,dislikes,comment_count
count,40379.0,40379.0,40379.0,40379.0
mean,2370838.716833007,74616.77275316378,3508.1219693404987,8287.396196042497
std,7428515.361046633,229617.24377897757,23174.860675471537,34316.04573401493
min,549.0,0.0,0.0,0.0
25%,247076.0,5621.5,205.0,623.0
50%,689597.0,18371.0,637.0,1874.0
75%,1834912.5,55672.0,1948.0,5787.0
max,225211923.0,5613827.0,1643059.0,1228655.0
