,views,likes,dislikes,comment_count
count,39585.0,39585.0,39585.0,39585.0
mean,1169234.0054313503,40596.940154098775,2058.693267651888,5159.71628141973
std,3437842.1017949213,134596.7253794675,19312.580852332943,21899.58741808807
min,733.0,0.0,0.0,0.0
25%,149715.0,2395.0,104.0,442.0
50%,383120.0,9244.0,314.0,1357.0
75%,983139.0,29670.0,976.0,3821.0
max,137843120.0,5053338.0,1602383.0,1114800.0
